ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,DELIVERED_COUNT,RETURNED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,RETURN_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,RETURN_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,RETURN_DISCOUNT_SUM,RETURN_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
56566876162,56566876162,Продажа физлицу,"Тумба подвесная SanStar Diva 100 с раковиной Фостер 100 (комплект) для ванной комнаты, Gold Craft",537.1-1.4.1.КФОС,537.1-1.4.1.КФОС,1,1,29.04.2026,30.04.2026,03.05.2026,21.05.2026,Яндекс.Сплит (предоплата),22%,40028,16397,0,0,23631,40028,16397,23631,,,,,,,,,,,,,,,,,,
56579004161,56579004161,Продажа физлицу,Зеркальный шкаф подвесной SanStar Graffa 60 для ванной комнаты Дуб вотан,444.1-2.4.1.ЛАВ,444.1-2.4.1.ЛАВ,1,1,29.04.2026,01.05.2026,07.05.2026,21.05.2026,Предоплата,22%,9196,4789,0,2748,1659,9196,7537,1659,,,,,,,,,,,,,,,,,,
56609898243,56609898243,Продажа физлицу,Зеркальный шкаф подвесной SanStar Diva 80 для ванной комнаты Дуб вотан,446.1-2.4.1.ДИВ,446.1-2.4.1.ДИВ,1,1,30.04.2026,02.05.2026,05.05.2026,18.05.2026,Предоплата,22%,8781,3965,0,2000,2816,8781,5965,2816,,,,,,,,,,,,,,,,,,
56634758529,56634758529,Продажа физлицу,"Шкаф-пенал универсальный SanStar Адель 60 для ванной комнаты, белый",468.1-3.4.1.,468.1-3.4.1.,1,1,01.05.2026,02.05.2026,04.05.2026,18.05.2026,Предоплата,22%,24155,9548,0,0,14607,24155,9548,14607,,,,,,,,,,,,,,,,,,
56661039491,56661039491,Продажа физлицу,Тумба подвесная SanStar Siva 70 Без раковины для ванной комнаты Дуб веллингтон табак,434.1-1.4.1.С,434.1-1.4.1.С,1,1,02.05.2026,06.05.2026,11.05.2026,31.05.2026,Предоплата,22%,19544,8790,0,0,10754,19544,8790,10754,,,,,,,,,,,,,,,,,,
56672723008,56672723008,Продажа физлицу,"Тумба напольная SanStar Riana 60 с раковиной Миранда 60 (комплект) для ванной комнаты, белая",3011151КМИР,3011151КМИР,1,1,02.05.2026,07.05.2026,09.05.2026,21.05.2026,Яндекс.Сплит (предоплата),22%,42158,21885,0,0,20273,42158,21885,20273,,,,,,,,,,,,,,,,,,
56672889985,56672889985,Продажа физлицу,"Тумба напольная SanStar Diva 70 с раковиной Фостер 70 (комплект) для ванной комнаты, Gold Craft",530.1-1.4.1.КФОС,530.1-1.4.1.КФОС,1,1,02.05.2026,04.05.2026,08.05.2026,26.05.2026,Предоплата,22%,29096,12039,0,0,17057,29096,12039,17057,,,,,,,,,,,,,,,,,,
56680639619,56680639619,Продажа физлицу,"Тумба подвесная SanStar Ориана 70 с раковиной Como 70 (комплект) для ванной комнаты, белая",286.1-1.4.1.ККОМ,286.1-1.4.1.ККОМ,1,1,03.05.2026,05.05.2026,07.05.2026,18.05.2026,Яндекс.Сплит (предоплата),22%,24965,12271,0,0,12694,24965,12271,12694,,,,,,,,,,,,,,,,,,
56685610049,56685610049,Продажа физлицу,"Тумба подвесная SanStar Ориана 70 с раковиной Como 70 (комплект) для ванной комнаты, белая",286.1-1.4.1.ККОМ,286.1-1.4.1.ККОМ,1,1,03.05.2026,05.05.2026,13.05.2026,29.05.2026,Предоплата,22%,25730,12642,0,0,13088,25730,12642,13088,,,,,,,,,,,,,,,,,,
56686879680,56686879680,Продажа физлицу,Зеркальный шкаф подвесной SanStar Lavanti 70 для ванной комнаты Дуб вотан,445.1-2.4.1.,445.1-2.4.1.,1,1,03.05.2026,04.05.2026,09.05.2026,21.05.2026,Предоплата,22%,9518,4367,0,0,5151,9518,4367,5151,,,,,,,,,,,,,,,,,,
