advert_id;date;app_type;nm_id;nm_name;views;clicks;ctr;cpc;atbs;orders;shks;sum;sum_price;cr;canceled
33983804;2026-04-07;32;385558371;Тумба Levi 50 с раковиной Foster 50 подвесная в ванную;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
33983804;2026-04-07;32;385558367;Тумба Levi 50 с раковиной Como 50 подвесная в ванную;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
33983804;2026-04-07;64;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;400;9;2,2500;19,4100;1;0;0;174,6500;0,0000;0,0000;0
33983804;2026-04-08;32;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;333;4;1,2000;36,3700;0;0;0;145,4700;0,0000;0,0000;0
33983804;2026-04-08;64;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;387;4;1,0300;42,4000;0;0;0;169,5900;0,0000;0,0000;0
33983804;2026-04-08;1;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;68;1;1,4700;29,9900;0;0;0;29,9900;0,0000;0,0000;0
33983804;2026-04-06;1;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;82;1;1,2200;36,1600;0;0;0;36,1600;0,0000;0,0000;0
33983804;2026-04-06;64;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;407;7;1,7200;25,4400;1;0;0;178,1000;0,0000;0,0000;0
33983804;2026-04-06;32;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;450;15;3,3300;13,1300;1;0;0;196,8800;0,0000;0,0000;0
33983804;2026-04-06;32;316745921;Тумба подвесная FIT 50 с раковиной Como 50;0;0;0,0000;0,0000;1;0;0;0,0000;0,0000;0,0000;0
33983804;2026-04-10;32;385558319;Тумба Levi 50 с раковиной Moduo 50 подвесная в ванную;348;6;1,7200;25,2900;0;0;0;151,7100;0,0000;0,0000;0
